Date of contribution,Where do you live?,What is your gender? ,What is your current work situation? (Select all that apply),Are you a member of a union and covered by a collective agreement?,How important is keeping your benefits when you consider changing jobs? (Select all that apply),What should the hourly minimum wage be?
Jan 11 18 01:27:31 pm,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 11 18 01:56:47 pm,Ontario,Prefer not to answer,Permanent,Yes,Very important,More than $15
Jan 11 18 02:02:36 pm,Ontario,Male,Permanent,Yes,Very important,$12
Jan 11 18 02:29:15 pm,Quebec,Female,Permanent,Yes,Very important,$14
Jan 11 18 03:10:34 pm,Quebec,Male,Permanent,Yes,Very important,$14
Jan 11 18 04:44:06 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 11 18 05:28:29 pm,Alberta,Female,Permanent,No,Very important,$13
Jan 11 18 05:33:16 pm,Ontario,Male,Permanent,No,Very important,$14
Jan 11 18 10:19:48 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 11 18 11:43:37 am,Ontario,Female,Permanent,No,Very important,More than $15
Jan 11 18 12:04:51 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 11 18 12:21:31 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 11 18 12:47:54 pm,Ontario,Female,Temporary/term or contract,No,Very important,More than $15
Jan 11 18 12:59:37 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 12 18 01:30:14 pm,Ontario,Female,Permanent,No,Very important,$13
Jan 12 18 01:48:33 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 12 18 02:28:11 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 12 18 02:48:51 pm,Ontario,Female,Permanent,Yes,Somewhat important,More than $15
Jan 12 18 03:39:57 pm,Manitoba,Male,Permanent,Prefer not to answer,Very important,$15
Jan 12 18 03:46:28 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 12 18 04:41:42 pm,Quebec,Male,Permanent,Yes,Very important,$15
Jan 12 18 05:25:05 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 12 18 06:26:49 pm,Nova Scotia,Male,Permanent,No,Very important,$15
Jan 12 18 07:00:48 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 12 18 07:15:25 pm,Nova Scotia,Female,Permanent,No,Very important,More than $15
Jan 12 18 07:26:31 pm,Alberta,Male,Permanent,No,Somewhat important,More than $15
Jan 12 18 09:38:27 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 12 18 11:55:52 am,Ontario,Female,Permanent,No,Very important,$15
Jan 13 18 05:38:10 pm,Ontario,Female,Permanent,Yes,Somewhat important,$15
